well_code,well_name,file_name,profile_file_name,log_date,depth_m,temperature_c,point_index,source_sample_count,sampled_point_count,sample_method,profile_point_role,public_product_role
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,135.94,-7.727,51,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,138.38,-7.676,52,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,140.82,-7.628,53,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,143.26,-7.582,54,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,145.69,-7.536,55,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,148.13,-7.486,56,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,150.57,-7.432,57,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,153.31,-7.378,58,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,155.75,-7.333,59,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,157.89,-7.292,60,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,160.32,-7.245,61,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,162.76,-7.197,62,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,165.2,-7.147,63,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,167.64,-7.095,64,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,170.08,-7.041,65,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,172.52,-6.99,66,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,174.96,-6.941,67,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,177.39,-6.892,68,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,179.83,-6.842,69,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
