file_name,well_code,well_name,profile_file_name,log_date,sample_count,min_depth_m,max_depth_m,min_temperature_c,max_temperature_c,deepest_temperature_c,deepest_window_gradient_c_per_100m
LBN_83SEP01.txt,LBN,Lisburne Test Well #1,LBN_83SEP01,01-SEP-1983,157,30.48,512.07,-4.581,5.437,5.437,2.0212294681281366
LBN_80SEP09.txt,LBN,Lisburne Test Well #1,LBN_80SEP09,09-SEP-1980,158,24.38,515.11,-0.625,9.021,9.021,1.8760535317450626
LBN_89JUL21.txt,LBN,Lisburne Test Well #1,LBN_89JUL21_c_d,21-JUL-1989,1576,22.86,518.16,-5.264,5.123,5.123,2.0585751598200663
LBN_81AUG22.txt,LBN,Lisburne Test Well #1,LBN_81AUG22,22-AUG-1981,162,24.38,515.11,-3.424,6.464,6.464,2.0026252485567335
LBN_02AUG22a.txt,LBN,Lisburne Test Well #1,LBN_02AUG22a_c_d,22-AUG-2002,985,14.17,143.74,-5.011,-3.413,-3.413,1.7185339571692881
LBN_02AUG22b.txt,LBN,Lisburne,LBN_02AUG22b_c_d,22-AUG-2002,2162,160.29,398.5,-3.004,2.516,2.516,2.2359715422016437
LBN_84JUL28.txt,LBN,Lisburne Test Well #1,LBN_84JUL28_c_d,28-JUL-1984,1602,22.56,515.72,-4.718,5.393,5.393,2.037117068859809
LUP_75AUG15.txt,LUP,Lupine Unit No. 1,LUP_75AUG15,15-AUG-1975,143,15.24,448.06,-0.566,8.062,8.062,1.1398900673867038
LUP_79SEP17.txt,LUP,Lupine Unit No. 1,LUP_79SEP17,17-SEP-1979,143,15.24,448.06,-3.173,4.936,4.936,2.0275867394898803
LUP_13JUL26.txt,LUP,Lupine Creek,LUP_13JUL26_c_d,26-JUL-2013,2805,11.41,459.91,-2.634,4.76,4.76,2.0916325608383812
LUP_81AUG28.txt,LUP,Lupine Unit No. 1,LUP_81AUG28,28-AUG-1981,143,15.24,448.06,-3.203,4.941,4.941,2.2266204685819115
NIN_89JUL06a.txt,NIN,North Inigok Test Well #1,NIN_89JUL06a_c_d,06-JUL-1989,1877,9.14,396.44,-8.306,4.238,4.238,3.661732757175477
NIN_89JUL06b.txt,NIN,North Inigok Test Well #1,NIN_89JUL06b_c_d,06-JUL-1989,963,381.61,579.73,3.715,11.243,11.243,3.633573010303458
NIN_07AUG08.txt,NIN,North Inigok Test Well #1,NIN_07AUG08_c_d,08-AUG-2007,2172,5.75,199.87,-7.698,-3.11,-3.11,4.0494647878614
NIN_12AUG10.txt,NIN,North Inigok,NIN_12AUG10_c_d,10-AUG-2012,1875,6.24,199.42,-7.567,-3.111,-3.111,4.027601218137016
NIN_02AUG26.txt,NIN,North Inigok Test Well #1,NIN_02AUG26_c_d,26-AUG-2002,3729,6.24,400.62,-7.828,4.275,4.275,3.684691860566939
NIN_85JUN29.txt,NIN,North Inigok Test Well #1,NIN_85JUN29_c_d,29-JUN-1985,1706,17.34,567.5,-8.697,11.183,11.183,3.686164534331034
NIN_82AUG31.txt,NIN,North Inigok Test Well #1,NIN_82AUG31,31-AUG-1982,261,10.67,576.07,-6.883,12.797,12.797,3.6407242062447076
NKP_84AUG01a.txt,NKP,North Kalikpik Test Well #1,NKP_84AUG01a_c_d,01-AUG-1984,383,15.54,136.25,-9.539,-3.582,-3.582,5.257822773170775
NKP_07AUG08.txt,NKP,North Kalikpik Test Well #1,NKP_07AUG08_c_d,08-AUG-2007,2131,5.89,200.02,-8.601,-0.493,-0.493,5.205736092707173
NKP_12AUG10.txt,NKP,North Kalikpik,NKP_12AUG10_c_d,10-AUG-2012,1940,5.34,199.51,-8.467,-0.492,-0.492,5.1805061319946475
NKP_79SEP10.txt,NKP,North Kalikpik Test Well #1,NKP_79SEP10,10-SEP-1979,129,18.29,643.13,-8.364,20.525,20.525,4.5298232038296895
NKP_80SEP11.txt,NKP,North Kalikpik Test Well #1,NKP_80SEP11,11-SEP-1980,207,15.24,643.13,-8.788,20.451,20.451,4.626339771755524
NKP_78SEP16.txt,NKP,North Kalikpik Test Well #1,NKP_78SEP16,16-SEP-1978,205,15.24,643.13,-7.236,21.077,21.077,4.520271344669773
NKP_03AUG19b.txt,NKP,North Kalikpik,NKP_03AUG19b_c_d,19-AUG-2003,2695,10.61,266.86,-8.742,2.666,2.666,4.734419622115631
NKP_81AUG20.txt,NKP,North Kalikpik Test Well #1,NKP_81AUG20,20-AUG-1981,206,15.24,643.13,-8.957,20.366,20.366,4.620101054284975
