object_id,permit_number,api_number,well_name,field,pool,current_status,driller_total_depth_ft,true_vertical_depth_ft,wellhead_latitude,wellhead_longitude,bottomhole_latitude,bottomhole_longitude,depth_basis,depth_basis_ft,depth_basis_m,hydrate_assessment_unit_count,hydrate_assessment_codes,within_hydrate_assessment_unit,nearest_ggd223_code,nearest_ggd223_well,nearest_permafrost_depth_m,nearest_ggd223_distance_km,well_depth_exceeds_nearest_permafrost_control,stability_context_flag
328,1730190,50029201280000,PRUDHOE BAY UNIT C-07,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,11803.0,9052.0,70.29554336,-148.66784535,70.2981,-148.715055,TrueVertic,9052.0,2759.0496000000003,1,50010201,True,PBG,BP 31-11-14,649,2.987645032641649,True,public_context_candidate
329,2000520,50029201280100,PRUDHOE BAY UNIT C-07A,PRUDHOE BAY,PRUDHOE OIL,"Oil well, single completion",13260.0,9007.0,70.29554336,-148.66784535,70.295111,-148.714659,TrueVertic,9007.0,2745.3336,1,50010201,True,PBG,BP 31-11-14,649,2.987645032641649,True,public_context_candidate
1782,1821690,50029208430000,PRUDHOE BAY UNIT C-27,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,11480.0,9217.0,70.2955734,-148.66909275,70.27989,-148.65423,TrueVertic,9217.0,2809.3416,1,50010201,True,PBG,BP 31-11-14,649,2.987938262232107,True,public_context_candidate
1783,1961390,50029208430100,PRUDHOE BAY UNIT C-27A,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,12300.0,9045.0,70.2955734,-148.66909275,70.277491,-148.654513,TrueVertic,9045.0,2756.916,1,50010201,True,PBG,BP 31-11-14,649,2.987938262232107,True,public_context_candidate
1784,2031860,50029208430200,PRUDHOE BAY UNIT C-27B,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,11947.0,9025.0,70.29557341,-148.66909272,70.2822028,-148.65210769,TrueVertic,9025.0,2750.82,1,50010201,True,PBG,BP 31-11-14,649,2.987939418473037,True,public_context_candidate
303,2230150,50029201180100,PRUDHOE BAY UNIT A-06A,PRUDHOE BAY,PRUDHOE OIL,"Oil well, single completion",13450.0,8750.0,70.26661222,-148.75100576,70.27884694,-148.74186827,TrueVertic,8750.0,2667.0,1,50010201,True,PBG,BP 31-11-14,649,2.988219384356898,True,public_context_candidate
302,1720180,50029201180000,PRUDHOE BAY UNIT A-06,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,11411.0,9291.0,70.26661221,-148.75100578,70.281674,-148.755049,TrueVertic,9291.0,2831.8968,1,50010201,True,PBG,BP 31-11-14,649,2.988220220480502,True,public_context_candidate
4864,1950410,50029225500000,PRUDHOE BAY UNIT X-30,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,13043.0,9055.0,70.24113731,-148.66723654,70.219131,-148.661329,TrueVertic,9055.0,2759.964,1,50010201,True,PBG,BP 31-11-14,649,2.9883234274791834,True,public_context_candidate
4865,2070780,50029225500100,PRUDHOE BAY UNIT X-30A,PRUDHOE BAY,PRUDHOE OIL,"Oil well, single completion",14320.0,9053.0,70.24113726,-148.66723652,70.21646642,-148.65638909,TrueVertic,9053.0,2759.3544,1,50010201,True,PBG,BP 31-11-14,649,2.9883289484138347,True,public_context_candidate
1011,1800530,50029204740000,PRUDHOE BAY UNIT X-14,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,12322.0,9664.0,70.24112536,-148.66751906,70.239712,-148.716444,TrueVertic,9664.0,2945.5872,1,50010201,True,PBG,BP 31-11-14,649,2.9887978364209276,True,public_context_candidate
