object_id,permit_number,api_number,well_name,field,pool,wellhead_latitude,wellhead_longitude,depth_basis,depth_basis_m,hydrate_assessment_codes,within_hydrate_assessment_unit,nearest_ggd223_code,nearest_ggd223_well,nearest_permafrost_depth_m,nearest_ggd223_distance_km,nearest_temperature_profile_code,nearest_temperature_profile_file,nearest_temperature_profile_well,nearest_temperature_profile_log_date,temperature_profile_count_for_code,temperature_profile_max_depth_m,temperature_profile_deepest_temperature_c,rough_geothermal_gradient_c_per_100m,temperature_profile_link_method,hydrostatic_pressure_mpa_at_depth_basis,hydrostatic_pressure_mpa_at_nearest_permafrost_control,hydrostatic_pressure_mpa_absolute_at_depth_basis,hydrostatic_pressure_mpa_absolute_at_nearest_permafrost_control,pressure_assumption_code,phase_curve_status,planned_phase_curve_id,planned_phase_curve_role,planned_phase_curve_allowed_use,planned_gas_composition_assumption,planned_gas_methane_mol_pct,planned_gas_ethane_mol_pct,planned_gas_propane_mol_pct,planned_gas_butane_plus_mol_pct,planned_salinity_ppt_assumption,stability_top_base_thickness_status,stability_input_readiness
5108,2150890,50029226840100,KUPARUK RIV UNIT 3F-18A,KUPARUK RIVER,KUPARUK RIVER OIL,70.37242508,-149.93080209,TrueVertic,1854.708,50010201; 50010202,True,WK11,West Sak River #11,470,2.853172637524641,,,,,,,,,no_matching_g10015_profile_for_nearest_ggd223_code,18.1884722082,4.6091255,18.2897972082,4.7104505,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,needs_temperature_profile_match
5109,2150900,50029226846000,KUPARUK RIV UNIT 3F-18AL1,KUPARUK RIVER,KUPARUK RIVER OIL,70.37242508,-149.93080209,TrueVertic,1853.4888,50010201; 50010202,True,WK11,West Sak River #11,470,2.853172637524641,,,,,,,,,no_matching_g10015_profile_for_nearest_ggd223_code,18.17651594052,4.6091255,18.27784094052,4.7104505,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,needs_temperature_profile_match
5110,2150910,50029226846100,KUPARUK RIV UNIT 3F-18AL2,KUPARUK RIVER,KUPARUK RIVER OIL,70.37242508,-149.93080209,TrueVertic,1809.2928,50010201; 50010202,True,WK11,West Sak River #11,470,2.853172637524641,,,,,,,,,no_matching_g10015_profile_for_nearest_ggd223_code,17.74310123712,4.6091255,17.84442623712,4.7104505,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,needs_temperature_profile_match
4353,1920320,50029222560000,PRUDHOE BAY UNIT M-31,PRUDHOE BAY,PRUDHOE OIL,70.33795391,-148.95965662,TrueVertic,2807.5128,50010201,True,PBF,BP 08-11-13,619,2.8535229784269127,,,,,,,,,no_matching_g10015_profile_for_nearest_ggd223_code,27.53229540012,6.07031635,27.633620400119998,6.17164135,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,needs_temperature_profile_match
2577,1850330,50029212960000,KUPARUK RIV UNIT 2V-16,KUPARUK RIVER,KUPARUK RIVER OIL,70.31845724,-149.93181094,TrueVertic,1880.3112,50010201; 50010202,True,WK14,West Sak River #14,464,2.8546944039247144,,,,,,,,,no_matching_g10015_profile_for_nearest_ggd223_code,18.43955382948,4.5502856000000005,18.54087882948,4.651610600000001,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,needs_temperature_profile_match
2858,1852450,50029214630000,KUPARUK RIV UNIT 3F-07,KUPARUK RIVER,KUPARUK RIVER OIL,70.37241143,-149.93072068,TrueVertic,1917.8016,50010201; 50010202,True,WK11,West Sak River #11,470,2.8547913355866776,,,,,,,,,no_matching_g10015_profile_for_nearest_ggd223_code,18.80720906064,4.6091255,18.90853406064,4.7104505,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,needs_temperature_profile_match
2170,1840130,50029210530200,MILNE PT UNIT N-01B,MILNE POINT,KUPARUK RIVER OIL,70.45177173,-149.64645786,TrueVertic,2077.5168000000003,50010201; 50010202,True,WK17,West Sak River #17,550,2.8567952871081883,,,,,,,,,no_matching_g10015_profile_for_nearest_ggd223_code,20.373480126720004,5.3936575,20.474805126720003,5.4949825,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,needs_temperature_profile_match
6482,2181250,50029236130000,HYDRATE 01,*EXPLORATORY,UNDEFINED GAS,70.31693632,-149.20010365,TrueVertic,1032.9672,50010201,True,NHST,N. Highland State,577,2.856845987890634,,,,,,,,,no_matching_g10015_profile_for_nearest_ggd223_code,10.129947791880001,5.65843705,10.23127279188,5.75976205,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,needs_temperature_profile_match
200,1700150,50029200620000,KUPARUK ST 7-11-12,PRUDHOE BAY,PRUDHOE OIL,70.31697455,-149.20050718,TrueVertic,2792.8824,50010201,True,NHST,N. Highland State,577,2.8571043403311216,,,,,,,,,no_matching_g10015_profile_for_nearest_ggd223_code,27.38882018796,5.65843705,27.49014518796,5.75976205,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,needs_temperature_profile_match
2857,1852440,50029214620000,KUPARUK RIV UNIT 3F-06,KUPARUK RIVER,KUPARUK RIVER OIL,70.37238139,-149.93052533,TrueVertic,1925.1168,50010201; 50010202,True,WK11,West Sak River #11,470,2.858864346389196,,,,,,,,,no_matching_g10015_profile_for_nearest_ggd223_code,18.87894666672,4.6091255,18.98027166672,4.7104505,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,needs_temperature_profile_match
